# pathway	keywords
Long_term_potentiation___Homo_sapiens__human___path_hsa04720	leukemia,human,potentiation
Lysosome___Homo_sapiens__human___path_hsa04142	leukemia,human,lysosome
Malaria___Homo_sapiens__human___path_hsa05144	leukemia,human,malaria
MAPK_signaling_pathway___Homo_sapiens__human___path_hsa04010	leukemia,human,mapk
Maturity_onset_diabetes_of_the_young___Homo_sapiens__human___path_hsa04950	leukemia,human,maturity,diabetes,young
Measles___Homo_sapiens__human___path_hsa05162	leukemia,human,measles
Melanogenesis___Homo_sapiens__human___path_hsa04916	leukemia,human,melanogenesis
Melanoma___Homo_sapiens__human___path_hsa05218	leukemia,human,melanoma
Mineral_absorption___Homo_sapiens__human___path_hsa04978	leukemia,human,mineral,absorption
Morphine_addiction___Homo_sapiens__human___path_hsa05032	leukemia,human,morphine
mRNA_surveillance_pathway___Homo_sapiens__human___path_hsa03015	leukemia,human,mrna,surveillance
mTOR_signaling_pathway___Homo_sapiens__human___path_hsa04150	leukemia,human,mtor
Natural_killer_cell_mediated_cytotoxicity___Homo_sapiens__human___path_hsa04650	leukemia,human,killer,cell,cytotoxicity
Neuroactive_ligand_receptor_interaction___Homo_sapiens__human___path_hsa04080	leukemia,human,neuroactive,ligand
Neurotrophin_signaling_pathway___Homo_sapiens__human___path_hsa04722	leukemia,human,neurotrophine
NF_kappa_B_signaling_pathway___Homo_sapiens__human___path_hsa04064	leukemia,human,nf-kappa b
NOD_like_receptor_signaling_pathway___Homo_sapiens__human___path_hsa04621	leukemia,human,nod,receptor
Non_small_cell_lung_cancer___Homo_sapiens__human___path_hsa05223	leukemia,human,non-smalllung,cancer
Notch_signaling_pathway___Homo_sapiens__human___path_hsa04330	leukemia,human,notch
Olfactory_transduction___Homo_sapiens__human___path_hsa04740	leukemia,human,olfactory,transduction
Oocyte_meiosis___Homo_sapiens__human___path_hsa04114	leukemia,human,oocyte,meiosis
Osteoclast_differentiation___Homo_sapiens__human___path_hsa04380	leukemia,human,osteoclast,differentiation
p53_signaling_pathway___Homo_sapiens__human___path_hsa04115	leukemia,human,p53,signaling
Pancreatic_cancer___Homo_sapiens__human___path_hsa05212	leukemia,human,pancreatic,cancer
Pancreatic_secretion___Homo_sapiens__human___path_hsa04972	leukemia,human,pancreatic,secretion
Parkinson_disease___Homo_sapiens__human___path_hsa05012	leukemia,human,parkinson
Pathogenic_Escherichia_coli_infection___Homo_sapiens__human___path_hsa05130	leukemia,human,pathogenic,escherichia coli
Pathways_in_cancer___Homo_sapiens__human___path_hsa05200	leukemia,human,cancer
Pertussis___Homo_sapiens__human___path_hsa05133	leukemia,human,pertussis
Phagosome___Homo_sapiens__human___path_hsa04145	leukemia,human,phagosome
Phototransduction___Homo_sapiens__human___path_hsa04744	leukemia,human,phototransduction
PI3K_Akt_signaling_pathway___Homo_sapiens__human___path_hsa04151	leukemia,human,pi3k-akt
PPAR_signaling_pathway___Homo_sapiens__human___path_hsa03320	leukemia,human,ppar
Prion_diseases___Homo_sapiens__human___path_hsa05020	leukemia,human,prion
Progesterone_mediated_oocyte_maturation___Homo_sapiens__human___path_hsa04914	leukemia,human,progesterone,oocyte,maturation
Prostate_cancer___Homo_sapiens__human___path_hsa05215	leukemia,human,prostate,cancer
Protein_processing_in_endoplasmic_reticulum___Homo_sapiens__human___path_hsa04141	leukemia,human,protein,endoplasmic,reticulum
Regulation_of_actin_cytoskeleton___Homo_sapiens__human___path_hsa04810	leukemia,human,actin,cytoskeleton
Renal_cell_carcinoma___Homo_sapiens__human___path_hsa05211	leukemia,human,renal,carcinoma
Retrograde_endocannabinoid_signaling___Homo_sapiens__human___path_hsa04723	leukemia,human,endocannabinoid
Rheumatoid_arthritis___Homo_sapiens__human___path_hsa05323	leukemia,human,rheumatoid,arthritis
Ribosome_biogenesis_in_eukaryotes___Homo_sapiens__human___path_hsa03008	leukemia,human,ribosome,biogenesis,eukaryotes
RIG_I_like_receptor_signaling_pathway___Homo_sapiens__human___path_hsa04622	leukemia,human,rig-i-like,receptor
RNA_degradation___Homo_sapiens__human___path_hsa03018	leukemia,human,rna,degradation
RNA_transport___Homo_sapiens__human___path_hsa03013	leukemia,human,rna,transport
Salivary_secretion___Homo_sapiens__human___path_hsa04970	leukemia,human,salivary,secretion
Salmonella_infection___Homo_sapiens__human___path_hsa05132	leukemia,human,salmonella,infection
Serotonergic_synapse___Homo_sapiens__human___path_hsa04726	leukemia,human,serotonergic,synapse
Shigellosis___Homo_sapiens__human___path_hsa05131	leukemia,human,shigellosis
Small_cell_lung_cancer___Homo_sapiens__human___path_hsa05222	leukemia,human,small-cell,lung,cancer
SNARE_interactions_in_vesicular_transport___Homo_sapiens__human___path_hsa04130	leukemia,human,snare,vesicular,transport
Staphylococcus_aureus_infection___Homo_sapiens__human___path_hsa05150	leukemia,human,staphylococcus,aureus,infection
Sulfur_relay_system___Homo_sapiens__human___path_hsa04122	leukemia,human,sulfur,relay,system
Synaptic_vesicle_cycle___Homo_sapiens__human___path_hsa04721	leukemia,human,synaptic,vesicle,cycle
Systemic_lupus_erythematosus___Homo_sapiens__human___path_hsa05322	leukemia,human,lupus,erythematosus
Taste_transduction___Homo_sapiens__human___path_hsa04742	leukemia,human,taste,transduction
TGF_beta_signaling_pathway___Homo_sapiens__human___path_hsa04350	leukemia,human,tgf-beta,signaling
Thyroid_cancer___Homo_sapiens__human___path_hsa05216	leukemia,human,thyroid,cancer
Tight_junction___Homo_sapiens__human___path_hsa04530	leukemia,human,tight,junction
Toll_like_receptor_signaling_pathway___Homo_sapiens__human___path_hsa04620	leukemia,human,toll-like,receptor
Toxoplasmosis___Homo_sapiens__human___path_hsa05145	leukemia,human,toxoplasmosis
Transcriptional_misregulation_in_cancer___Homo_sapiens__human___path_hsa05202	leukemia,human,transcriptional,misregulation,cancer
Tuberculosis___Homo_sapiens__human___path_hsa05152	leukemia,human,tubercolosis
Type_II_diabetes_mellitus___Homo_sapiens__human___path_hsa04930	leukemia,human,type ii,diabetes,mellitus
Type_I_diabetes_mellitus___Homo_sapiens__human___path_hsa04940	leukemia,human,type i,diabetes,mellitus
T_cell_receptor_signaling_pathway___Homo_sapiens__human___path_hsa04660	leukemia,human,t-cell,receptor
Vascular_smooth_muscle_contraction___Homo_sapiens__human___path_hsa04270	leukemia,human,vascular,smooth,muscle,contraction
Vasopressin_regulated_water_reabsorption___Homo_sapiens__human___path_hsa04962	leukemia,human,vasopression,water,reabsorption
VEGF_signaling_pathway___Homo_sapiens__human___path_hsa04370	leukemia,human,vegf,signaling
Vibrio_cholerae_infection___Homo_sapiens__human___path_hsa05110	leukemia,human,vibrio,cholerae,infection
Viral_carcinogenesis___Homo_sapiens__human___path_hsa05203	leukemia,human,viral,carcinogenesis
Viral_myocarditis___Homo_sapiens__human___path_hsa05416	leukemia,human,viral,myocarditis
Wnt_signaling_pathway___Homo_sapiens__human___path_hsa04310	leukemia,human,wnt,signaling
